product_name,chiffre_affaires,pct_cumule,classe_abc
Kit manucure,71413.46,3.1,A (essentiel)
Chargeur sans fil,69861.01,6.2,A (essentiel)
Jouet interactif chat,67287.7,9.2,A (essentiel)
Stylo plume,66294.03,12.1,A (essentiel)
T-shirt coton bio,65536.24,15.0,A (essentiel)
Diffuseur d'huiles,62835.05,17.8,A (essentiel)
Clavier mécanique,61738.14,20.5,A (essentiel)
Vélo pliant,61639.2,23.2,A (essentiel)
Veste légère,57685.19,25.8,A (essentiel)
Crème hydratante,57592.58,28.3,A (essentiel)
Souris sans fil,57221.48,30.8,A (essentiel)
Huile essentielle,56949.17,33.3,A (essentiel)
Sac à dos cuir,56840.53,35.8,A (essentiel)
Pull col rond,56604.27,38.3,A (essentiel)
Casque gaming,54544.43,40.7,A (essentiel)
Ceinture cuir,54531.24,43.1,A (essentiel)
Plaid polaire,53060.93,45.5,A (essentiel)
Litière agglomérante,52104.22,47.8,A (essentiel)
Calendrier mural,51814.7,50.0,A (essentiel)
Disque SSD 1To,51703.3,52.3,A (essentiel)
Montre connectée,51179.12,54.6,A (essentiel)
Gamelle anti-glouton,50280.17,56.8,A (essentiel)
Parfum 50ml,48600.0,58.9,A (essentiel)
Agenda 2026,46537.4,61.0,A (essentiel)
Power bank 20000mAh,45246.9,63.0,A (essentiel)
Coussin déco,44459.18,64.9,A (essentiel)
Panier moelleux,44175.99,66.9,A (essentiel)
Roman best-seller,43710.24,68.8,A (essentiel)
Tapis de yoga,43237.18,70.7,A (essentiel)
Sac de sport,41434.42,72.5,A (essentiel)
Casque Bluetooth,41142.69,74.4,A (essentiel)
Tente 2 places,38937.87,76.1,A (essentiel)
Croquettes premium,37087.73,77.7,A (essentiel)
Lampe LED design,35576.39,79.3,A (essentiel)
Tapis de souris XXL,33104.42,80.7,B (intermédiaire)
Caméra sport,31574.02,82.1,B (intermédiaire)
Set de rangement,27538.37,83.3,B (intermédiaire)
Carnet ligné A5,26928.3,84.5,B (intermédiaire)
Laisse rétractable,24853.17,85.6,B (intermédiaire)
Jean coupe droite,24782.69,86.7,B (intermédiaire)
Brosse électrique,23271.19,87.7,B (intermédiaire)
Haltères réglables,22297.94,88.7,B (intermédiaire)
Gourde isotherme,21225.53,89.7,B (intermédiaire)
Enceinte portable,20099.41,90.5,B (intermédiaire)
Hub USB-C,19360.28,91.4,B (intermédiaire)
Brumisateur,18941.81,92.2,B (intermédiaire)
Barre de son,18796.69,93.1,B (intermédiaire)
Plante artificielle,17986.35,93.9,B (intermédiaire)
Coffret soin visage,17247.86,94.6,B (intermédiaire)
Sérum vitamine C,16039.55,95.3,C (marginal)
Sneakers urbaines,15132.36,96.0,C (marginal)
Corde à sauter,13027.23,96.6,C (marginal)
Élastiques fitness,10928.84,97.0,C (marginal)
Kit jardinage,8764.68,97.4,C (marginal)
Support ordinateur,8481.82,97.8,C (marginal)
Casquette brodée,8172.65,98.2,C (marginal)
Pack post-it,7965.45,98.5,C (marginal)
Tapis salon,7086.77,98.8,C (marginal)
BD collector,6778.01,99.1,C (marginal)
Livre de cuisine,6745.61,99.4,C (marginal)
"Tablette 10""",3665.4,99.6,C (marginal)
Webcam HD,3599.01,99.7,C (marginal)
Arbre à chat,3214.21,99.9,C (marginal)
Friandises dentaires,2554.05,100.0,C (marginal)
